,rhodot,2km path,5km path,10km path,15km path,2km simulation,5km simulation,10km simulation,15km simulation
rhodot,1,0.955371238,0.853913374,0.789752579,0.730194231,0.931148624,0.827356179,0.780824061,0.730419442
2km path,0.955371238,1,0.945680194,0.814614822,0.750987803,0.98066515,0.922788001,0.810928529,0.764569249
5km path,0.853913374,0.945680194,1,0.865514927,0.767756626,0.93523499,0.980888873,0.865323223,0.784134994
10km path,0.789752579,0.814614822,0.865514927,1,0.928117235,0.80437219,0.835866045,0.973884795,0.901663204
15km path,0.730194231,0.750987803,0.767756626,0.928117235,1,0.744544947,0.7381555,0.90397231,0.955483203
2km simulation,0.931148624,0.98066515,0.93523499,0.80437219,0.744544947,1,0.944413599,0.823793427,0.783406447
5km simulation,0.827356179,0.922788001,0.980888873,0.835866045,0.7381555,0.944413599,1,0.869872807,0.793388561
10km simulation,0.780824061,0.810928529,0.865323223,0.973884795,0.90397231,0.823793427,0.869872807,1,0.937256145
15km simulation,0.730419442,0.764569249,0.784134994,0.901663204,0.955483203,0.783406447,0.793388561,0.937256145,1
